<YEI3Space WL:12000861>


           R,                   i,                  j,                    k,        %,  Button
(0.34393545985221863, -0.8135185837745667, -0.4500598609447479, -0.13168993592262268, 57, 0)
(0.37782564759254456, -0.7933303713798523, -0.45794400572776794, -0.13476717472076416, 57, 0)
(0.40695127844810486, -0.7741273045539856, -0.4650065302848816, -0.13742895424365997, 57, 0)
(0.42529812455177307, -0.760623574256897, -0.47045695781707764, -0.13872192800045013, 57, 0)
(0.4453764259815216, -0.7448996901512146, -0.4770406186580658, -0.1385525017976761, 57, 0)
(0.46184825897216797, -0.7318769693374634, -0.4825165569782257, -0.13501949608325958, 57, 0)
(0.4654031991958618, -0.7291069626808167, -0.4836912453174591, -0.13358817994594574, 57, 0)
(0.47671911120414734, -0.7201552391052246, -0.4878123104572296, -0.12710128724575043, 57, 0)
(0.4874323308467865, -0.711243748664856, -0.49224987626075745, -0.11929921805858612, 57, 0)
(0.5024607181549072, -0.6979331374168396, -0.49898791313171387, -0.10692945867776871, 57, 0)
(0.5151287913322449, -0.6864420771598816, -0.5041391253471375, -0.0963507816195488, 57, 0)
(0.5292217135429382, -0.6739631295204163, -0.5084870457649231, -0.08449402451515198, 57, 0)
(0.5437619090080261, -0.661178708076477, -0.5118992924690247, -0.07158900797367096, 57, 0)
(0.5626444816589355, -0.6446937322616577, -0.514616072177887, -0.054512590169906616, 57, 0)
(0.5775470733642578, -0.6297340393066406, -0.5181368589401245, -0.037532560527324677, 57, 0)
(0.5871358513832092, -0.6200804710388184, -0.519763171672821, -0.024857666343450546, 57, 0)
(0.6007184982299805, -0.6089515089988708, -0.5179057121276855, -0.00944733526557684, 57, 0)
(0.6112816333770752, -0.5989541411399841, -0.5172894597053528, 0.0007931012660264969, 57, 0)
(0.621997058391571, -0.5879495739936829, -0.5170555114746094, 0.00942312367260456, 57, 0)
(0.6340051293373108, -0.5744878053665161, -0.5173127055168152, 0.01972046121954918, 57, 0)
(0.6383962631225586, -0.5686129927635193, -0.518158495426178, 0.025328893214464188, 57, 0)
(0.6419708132743835, -0.5631923079490662, -0.5193688273429871, 0.030729927122592926, 57, 0)
(0.6465699076652527, -0.5541685819625854, -0.5225920677185059, 0.04174020141363144, 57, 0)
(0.6474090218544006, -0.5506783127784729, -0.5246793031692505, 0.04823874682188034, 57, 0)
(0.6453966498374939, -0.5472169518470764, -0.5293165445327759, 0.06197506561875343, 57, 0)
(0.6414622664451599, -0.5465812683105469, -0.5334007143974304, 0.07251869142055511, 57, 0)
(0.6399253606796265, -0.5466281175613403, -0.5347421169281006, 0.0757918432354927, 57, 0)
(0.6320198178291321, -0.5476974844932556, -0.540941596031189, 0.08922296017408371, 57, 0)
(0.6247915625572205, -0.549730658531189, -0.5455673933029175, 0.09893611073493958, 57, 0)
(0.6093605756759644, -0.5563508868217468, -0.5528231263160706, 0.11636268347501755, 57, 0)
(0.5974513292312622, -0.5624551177024841, -0.5570093989372253, 0.12820665538311005, 57, 0)
(0.5824028253555298, -0.5697950720787048, -0.5621387958526611, 0.1419180929660797, 57, 0)
(0.5685628056526184, -0.5752412676811218, -0.5674687623977661, 0.15431568026542664, 57, 0)
(0.5588111281394958, -0.5784505605697632, -0.5712947249412537, 0.16354721784591675, 57, 0)
(0.5494816303253174, -0.5813952684402466, -0.5746809244155884, 0.1726018488407135, 57, 0)
